servicio,nombre,soporte_usuario_dia,n_usuarios_distintos_control
d766af3638194588bfaa68f745e5b24a,Ficha de Caracterización Unica - Subsecretaría de Educación,79683,57001
081c2c9f062a4293ae6d23a5b30e7c3e,Visitas Guiadas - Presidencia de la República,76475,48940
449a0da4315e43c288dbc988ed92c7e5,Participación Digital - Secretaría de Gobierno Digital,75662,55574
a442d9a9874341e5bb5798efe5c4b5bd,Trámites Municipales - Municipalidad de Ñuñoa,74048,35167
117d6d62a9844fd38fdb5d53e5cbc844,TRASPASO DEL DOMINIO DE BIENES - Fondo de Solidaridad e Inversión Social,72336,56517
cce309a83d0f482a829a610f1695bfee,CNTV Denuncias - Consejo Nacional de Televisión,71351,55341
645a4f092abd49f0820b8a5507e3dea0,Sistema Servicios en línea - Caja de Previsión de la Defensa Nacional,69558,33256
24483936f5c8410da7be5e32f0b102ef,milicenciamedica - Subsecretaría de Salud Pública,68508,42955
78b147a9c73f4d6d8f6d1e0f0b082556,Afiliación voluntaria en AFC - Administradora de Fondos de Cesantía,67035,58727
80d8324451a74ae887a93c2bee8b5d3d,TRAYECTORIAS EDUCATIVAS (SPTE) - Subsecretaría de Educación,67033,19531
d8420be9114342368d9bc32882809746,Plataforma Atención Remota - Subsecretaría de Redes Asistenciales,66998,18264
55c1817c84554dc881bc439a4b00abed,Municipalidad de Colina - Municipalidad de Colina,66382,19630
be7886a9f72d472e8ef4f671a7526a1d,Aula virtual Sernac - Servicio Nacional del Consumidor,65499,30477
fba5ab8c38d3426492c31c99ad569bdb,Oficina Judicial Virtual Tribunales Tributarios y Aduaneros - Unidad Administradora de Tribunales Tributarios y Aduaneros,64409,5896
0f532ac1f05244948659dc3ba050d6cb,Subasta Aduanera - Servicio Nacional de Aduanas,64219,40165
c39e8d94c06848008c0f7db6d3708af9,Subsecretaría de Vivienda y Urbanismo - Cerofilas - Subsecretaría de Vivienda y Urbanismo,64219,41122
0a0b41b45e2143ad8d97436f8561b1ca,Sistemas Recoleta - Municipalidad de Recoleta,63925,2907
44568175e9ff4fdcb98cd4e9d368ce11,Sistema Integrado DAES - Subsecretaría de Economía y Empresas de Menor Tamaño,63863,25172
